specimen_collection_date.value,specimen_collection_date.units,animal_age_at_collection.value,animal_age_at_collection.units,developmental_stage.text,developmental_stage.term,health_status_at_collection.0.text,health_status_at_collection.0.term,organism_part.text,organism_part.term,organism_part.warnings.0,specimen_collection_protocol.value,derived_from.value,samples_core.sample_description.value,samples_core.material.text,samples_core.material.term,samples_core.project.value,custom.sample_name.value,describedBy,schema_type,uuid,derivedInto.0,derivedInto.1,derivedInto.2,derivedInto.3,derivedInto.4,derivedInto.5,derivedInto.6,derivedInto.7,derivedFrom.0
"2018","YYYY","12.0","months","adult","EFO:0001272","normal","PATO:0000461","peripheral blood cells","BTO:0003494","Provided value 'peripheral blood cells' doesn't precisely match 'peripheral blood cell' for term 'BTO:0003494'","https://data.faang.org/api/fire_api/samples/ISU_SOP_sorting_swine_immune_cells_20210113.pdf","Pig_B3","Blood, Pig_B3","specimen from organism","OBI:0001479","FAANG","Pig_B3_blood","https://raw.githubusercontent.com/ebi-ait/ag2pi-2-ingest/main/json_schema/type/biomaterial/1.0.0/faang_samples_specimen","biomaterial","de9221bd-92f9-4b48-bacf-24baf47da2f9","5930ea2a-e69e-47e9-9afa-a72caf1f5272","f9d89fe7-b740-4718-b2a9-80f5323d6a83","7222adf8-de50-449e-8aed-fd8f48055c6d","cf2dbc33-3a87-41c8-8a8a-cd126c91265c","c66ce664-757a-47ba-8501-f38573381a0c","3088d1ad-54c2-4c63-9d79-47fc75e19aeb","452fddc9-35e0-4858-8ca8-1cc47b163b6c","fbfe2606-5721-461b-8aaa-a8200a956ed4","94521daf-1743-43ca-8697-2c5a3ca4b086"
"2018","YYYY","12.0","months","adult","EFO:0001272","normal","PATO:0000461","peripheral blood cells","BTO:0003494","Provided value 'peripheral blood cells' doesn't precisely match 'peripheral blood cell' for term 'BTO:0003494'","https://data.faang.org/api/fire_api/samples/ISU_SOP_sorting_swine_immune_cells_20210113.pdf","Pig_C2","Blood, Pig_C2","specimen from organism","OBI:0001479","FAANG","Pig_C2_blood","https://raw.githubusercontent.com/ebi-ait/ag2pi-2-ingest/main/json_schema/type/biomaterial/1.0.0/faang_samples_specimen","biomaterial","8c50ba1d-8229-46b0-b383-fb12060522b3","4b6115fc-2d55-4598-91b9-fd1a07f9d15e","","","","","","","","7bd55476-ddd8-41bd-8cc3-4044252ada75"
"2018","YYYY","12.0","months","adult","EFO:0001272","normal","PATO:0000461","peripheral blood cells","BTO:0003494","Provided value 'peripheral blood cells' doesn't precisely match 'peripheral blood cell' for term 'BTO:0003494'","https://data.faang.org/api/fire_api/samples/ISU_SOP_sorting_swine_immune_cells_20210113.pdf","Pig_C3","Blood, Pig_C3","specimen from organism","OBI:0001479","FAANG","Pig_C3_blood","https://raw.githubusercontent.com/ebi-ait/ag2pi-2-ingest/main/json_schema/type/biomaterial/1.0.0/faang_samples_specimen","biomaterial","6e29a366-5708-4aa0-a456-47ec52757ce5","29694b6c-f94c-40d8-a421-c077d598a5c6","","","","","","","","af920c01-ef75-4425-92f4-5971aed6cfe0"
"2019","YYYY","1.0","months","adult","EFO:0001272","normal","PATO:0000461","peripheral blood cells","BTO:0003494","Provided value 'peripheral blood cells' doesn't precisely match 'peripheral blood cell' for term 'BTO:0003494'","https://data.faang.org/api/fire_api/samples/ISU_SOP_sorting_swine_immune_cells_20210113.pdf","Pig_D2","Blood, Pig_D2","specimen from organism","OBI:0001479","FAANG","Pig_D2_blood","https://raw.githubusercontent.com/ebi-ait/ag2pi-2-ingest/main/json_schema/type/biomaterial/1.0.0/faang_samples_specimen","biomaterial","32e955b6-ccd9-4db5-93ce-18b2f18fd4d7","7b9a9cd8-888c-4172-a7b5-666cf68a8b45","","","","","","","","a57dfd84-6bd5-4f27-ab5e-be69d4b96ba4"
"2019","YYYY","2.0","months","adult","EFO:0001272","normal","PATO:0000461","peripheral blood cells","BTO:0003494","Provided value 'peripheral blood cells' doesn't precisely match 'peripheral blood cell' for term 'BTO:0003494'","https://data.faang.org/api/fire_api/samples/ISU_SOP_sorting_swine_immune_cells_20210113.pdf","Pig_D1","Blood, Pig_D1","specimen from organism","OBI:0001479","FAANG","Pig_D1_blood","https://raw.githubusercontent.com/ebi-ait/ag2pi-2-ingest/main/json_schema/type/biomaterial/1.0.0/faang_samples_specimen","biomaterial","c3809de4-f0c0-464c-8460-44728854e98f","3357d416-3bc8-441c-99da-8f68b6e3651d","","","","","","","","e3c508a5-e42c-4b04-9af9-1c181057fbc5"
"2019","YYYY","6.0","months","adult","EFO:0001272","normal","PATO:0000461","peripheral blood cells","BTO:0003494","Provided value 'peripheral blood cells' doesn't precisely match 'peripheral blood cell' for term 'BTO:0003494'","https://data.faang.org/api/fire_api/samples/ISU_SOP_sorting_swine_immune_cells_20210113.pdf","Pig_A1","Blood, Pig_A1","specimen from organism","OBI:0001479","FAANG","Pig_A1_blood","https://raw.githubusercontent.com/ebi-ait/ag2pi-2-ingest/main/json_schema/type/biomaterial/1.0.0/faang_samples_specimen","biomaterial","df951762-6321-40ee-a101-eac8aa1969e5","e8073fef-6734-4fda-badf-97a09f8ddb97","e6349b67-2419-4fab-b314-88fdfff83cd2","a5b37c61-08be-42db-a1b2-13e63784f673","30f26d77-ba04-4e3a-8783-4248d3c3cd58","6971d06f-95d7-47c8-a3bc-a0b7946bd5be","372e813c-6d0a-48d0-a0ea-40fe8d3135ff","bbff56c4-0743-4a9b-96f8-86523a8b9cf2","bf9a52e0-7ee7-4d63-ab41-e78c92b582e2","9b2f8445-61f5-4b63-968e-b3a7a3f10628"
"2018","YYYY","12.0","months","adult","EFO:0001272","normal","PATO:0000461","peripheral blood cells","BTO:0003494","Provided value 'peripheral blood cells' doesn't precisely match 'peripheral blood cell' for term 'BTO:0003494'","https://data.faang.org/api/fire_api/samples/ISU_SOP_sorting_swine_immune_cells_20210113.pdf","Pig_B1","Blood, Pig_B1","specimen from organism","OBI:0001479","FAANG","Pig_B1_blood","https://raw.githubusercontent.com/ebi-ait/ag2pi-2-ingest/main/json_schema/type/biomaterial/1.0.0/faang_samples_specimen","biomaterial","87e5fcad-e20e-46b1-a1a3-b705df334b61","70fac44e-40de-4e7e-947c-cf3a7d338853","637a9b1d-3b8f-4543-909b-9f6334c1823c","6d8066d7-b5c5-43d1-ab72-02aafb859e59","6ef7ca92-bdd6-47f9-b906-a85acd0b1247","50dddb85-5a39-4c93-8640-d66ff8db5213","c7231057-6e11-420a-b5ac-3729a1c249cd","fd1f2937-f491-4c01-9557-cf8f9e053515","335ac73f-7761-43ac-b31e-475c2621c4c7","ea202c80-b692-4a32-a6d6-def4f7d52c14"
"2019","YYYY","6.0","months","adult","EFO:0001272","normal","PATO:0000461","peripheral blood cells","BTO:0003494","Provided value 'peripheral blood cells' doesn't precisely match 'peripheral blood cell' for term 'BTO:0003494'","https://data.faang.org/api/fire_api/samples/ISU_SOP_sorting_swine_immune_cells_20210113.pdf","Pig_A2","Blood, Pig_A2","specimen from organism","OBI:0001479","FAANG","Pig_A2_blood","https://raw.githubusercontent.com/ebi-ait/ag2pi-2-ingest/main/json_schema/type/biomaterial/1.0.0/faang_samples_specimen","biomaterial","52031751-a3cf-4509-aa9c-1f562613a2a4","b7f9bee1-c1aa-4761-833a-43476c9bc8a1","17098d6a-1e51-4a03-9b93-a763608dce8a","d34f3638-78da-4f80-ad4e-52ed03c02d41","d0b1880d-c068-481c-8757-bf4be891584b","2cd2322f-3d6c-4da0-a12d-cf24f773ffc8","17e3d1a0-5f02-4e40-8655-55c88ec2a96e","88ebe6af-86c5-4d9a-9607-df97dcba5cc7","","26c76dad-3ce6-402e-84a3-f31417c98a55"
"2018","YYYY","12.0","months","adult","EFO:0001272","normal","PATO:0000461","peripheral blood cells","BTO:0003494","Provided value 'peripheral blood cells' doesn't precisely match 'peripheral blood cell' for term 'BTO:0003494'","https://data.faang.org/api/fire_api/samples/ISU_SOP_sorting_swine_immune_cells_20210113.pdf","Pig_C1","Blood, Pig_C1","specimen from organism","OBI:0001479","FAANG","Pig_C1_blood","https://raw.githubusercontent.com/ebi-ait/ag2pi-2-ingest/main/json_schema/type/biomaterial/1.0.0/faang_samples_specimen","biomaterial","43247af7-1646-48ec-bb96-bd1492f69bbd","cc696792-dfa3-454b-88fd-d713bded4b4b","","","","","","","","c8e184fe-42ae-49c2-ab5e-0602b2039cbf"
"2018","YYYY","12.0","months","adult","EFO:0001272","normal","PATO:0000461","peripheral blood cells","BTO:0003494","Provided value 'peripheral blood cells' doesn't precisely match 'peripheral blood cell' for term 'BTO:0003494'","https://data.faang.org/api/fire_api/samples/ISU_SOP_sorting_swine_immune_cells_20210113.pdf","Pig_B2","Blood, Pig_B2","specimen from organism","OBI:0001479","FAANG","Pig_B2_blood","https://raw.githubusercontent.com/ebi-ait/ag2pi-2-ingest/main/json_schema/type/biomaterial/1.0.0/faang_samples_specimen","biomaterial","821e8330-6ccc-4a89-a727-ede0078fbe1f","e011a823-70ca-4a46-8078-e8c7ce712fe7","35a85f63-64d2-414d-a5ce-9f368055b06e","a5a35576-0321-4839-85d2-1127e66090d7","fb7a5c2a-c7db-4026-b6f6-ff4006e05387","f002bdb4-ff41-40d2-8424-779e889e7371","a77251eb-1298-495f-a2fb-4b25dd382b39","9ac8432e-9047-441c-a78e-1ffd8d65314d","17b78462-ef64-4705-9e16-89d4b0d2ae50","3744bd91-14a5-42b3-a3ca-28b67ebd7aa8"
